               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.013175,           0.0082565,          0.00061877,             0.98514,             0.99536,             0.99449,             0.90906,            0.009126,           0.0038998,          0.00016909,           0.0074013,           0.0074013,           0.0074013
                 107,            0.012789,           0.0082122,          0.00057206,             0.98562,             0.99526,             0.99452,             0.90783,           0.0091995,           0.0039064,           0.0001653,           0.0073765,           0.0073765,           0.0073765
                 108,            0.012918,           0.0082193,          0.00056557,             0.98615,             0.99504,             0.99455,              0.9087,           0.0091931,            0.003903,          0.00016313,           0.0073517,           0.0073517,           0.0073517
                 109,            0.012908,           0.0081866,          0.00058458,             0.98606,             0.99555,             0.99458,             0.90857,           0.0091827,           0.0038876,          0.00015895,            0.007327,            0.007327,            0.007327
                 110,            0.012956,           0.0080446,          0.00060522,               0.986,             0.99557,             0.99456,              0.9098,           0.0091852,           0.0038855,          0.00015974,           0.0073023,           0.0073023,           0.0073023
                 111,            0.013006,             0.00825,          0.00061119,             0.98573,             0.99555,             0.99458,             0.91138,            0.009119,           0.0038702,          0.00015996,           0.0072775,           0.0072775,           0.0072775
                 112,            0.012842,           0.0080768,          0.00063054,             0.98546,             0.99616,              0.9946,              0.9121,           0.0091327,           0.0038615,          0.00016062,           0.0072527,           0.0072527,           0.0072527
                 113,            0.012835,           0.0080743,          0.00057661,             0.98587,             0.99616,             0.99459,              0.9121,           0.0091467,           0.0038672,          0.00016029,            0.007228,            0.007228,            0.007228
                 114,            0.012583,           0.0081094,          0.00054185,             0.98619,             0.99612,             0.99461,             0.91274,           0.0091226,           0.0038665,           0.0001609,           0.0072033,           0.0072033,           0.0072033
                 115,            0.012718,           0.0081383,          0.00056252,             0.98599,             0.99601,             0.99462,             0.91334,           0.0090785,           0.0038596,          0.00016129,           0.0071785,           0.0071785,           0.0071785
                 116,            0.012683,            0.008137,          0.00061446,             0.98601,             0.99586,             0.99463,             0.91387,           0.0090366,           0.0038437,          0.00016028,           0.0071538,           0.0071538,           0.0071538
                 117,            0.012691,           0.0080819,          0.00059821,             0.98591,             0.99616,             0.99464,             0.91279,           0.0090579,           0.0038438,          0.00016125,            0.007129,            0.007129,            0.007129
                 118,            0.012648,           0.0080555,          0.00056251,             0.98548,             0.99616,             0.99462,             0.91333,           0.0090309,           0.0038407,          0.00016071,           0.0071042,           0.0071042,           0.0071042
                 119,            0.012753,             0.00808,          0.00052049,             0.98528,             0.99647,             0.99462,             0.91318,           0.0090198,           0.0038303,          0.00016054,           0.0070795,           0.0070795,           0.0070795
                 120,            0.012466,           0.0080486,          0.00054834,             0.98521,             0.99647,             0.99462,             0.91236,           0.0090401,            0.003834,          0.00015919,           0.0070547,           0.0070547,           0.0070547
                 121,            0.012515,           0.0078966,          0.00063334,             0.98541,             0.99634,             0.99463,             0.91268,           0.0090378,           0.0038282,          0.00015864,             0.00703,             0.00703,             0.00703
                 122,            0.012687,            0.008067,          0.00056736,              0.9852,             0.99644,             0.99462,             0.91321,           0.0090373,           0.0038261,          0.00015691,           0.0070053,           0.0070053,           0.0070053
                 123,            0.012606,           0.0081077,          0.00053988,              0.9854,             0.99589,             0.99462,             0.91268,           0.0090401,           0.0038293,           0.0001563,           0.0069805,           0.0069805,           0.0069805
                 124,            0.012523,           0.0078966,          0.00056757,             0.98546,             0.99574,             0.99464,             0.91361,           0.0090401,           0.0038232,            0.000156,           0.0069558,           0.0069558,           0.0069558
                 125,            0.012674,           0.0080403,           0.0005695,             0.98668,             0.99455,             0.99463,             0.91268,           0.0090986,           0.0038347,          0.00015522,            0.006931,            0.006931,            0.006931
                 126,            0.012505,           0.0078916,          0.00055202,             0.98665,             0.99457,             0.99464,             0.91174,             0.00912,           0.0038423,          0.00015406,           0.0069063,           0.0069063,           0.0069063
                 127,             0.01246,            0.007875,          0.00052775,             0.98675,             0.99449,             0.99462,             0.91161,           0.0091322,           0.0038452,          0.00015416,           0.0068815,           0.0068815,           0.0068815
                 128,            0.012216,           0.0079128,          0.00051719,               0.987,             0.99408,             0.99463,             0.91185,           0.0091331,           0.0038438,          0.00015407,           0.0068568,           0.0068568,           0.0068568
                 129,            0.012508,           0.0080481,          0.00056183,             0.98711,             0.99408,             0.99463,             0.91226,           0.0091381,           0.0038389,          0.00015347,            0.006832,            0.006832,            0.006832
                 130,            0.012326,           0.0079307,          0.00055461,             0.98718,             0.99413,             0.99462,              0.9119,           0.0091175,           0.0038314,          0.00015304,           0.0068073,           0.0068073,           0.0068073
                 131,            0.012149,           0.0078248,          0.00052455,              0.9872,             0.99409,             0.99462,             0.91136,           0.0091339,           0.0038317,          0.00015273,           0.0067825,           0.0067825,           0.0067825
                 132,            0.012488,           0.0079518,          0.00058654,             0.98706,             0.99382,             0.99462,             0.91147,            0.009123,           0.0038285,          0.00015232,           0.0067577,           0.0067577,           0.0067577
                 133,            0.012112,           0.0077827,          0.00052766,             0.98676,             0.99411,             0.99462,              0.9109,           0.0091481,           0.0038338,          0.00015218,            0.006733,            0.006733,            0.006733
                 134,            0.012441,           0.0078686,           0.0005671,             0.98674,             0.99415,             0.99462,             0.91105,            0.009143,           0.0038291,          0.00015172,           0.0067082,           0.0067082,           0.0067082
                 135,            0.012054,           0.0077091,           0.0005264,             0.98712,             0.99413,             0.99463,             0.91085,           0.0091624,           0.0038301,          0.00015138,           0.0066835,           0.0066835,           0.0066835
                 136,             0.01225,           0.0078643,          0.00048725,              0.9872,             0.99411,             0.99462,             0.91076,           0.0091781,           0.0038322,          0.00015085,           0.0066587,           0.0066587,           0.0066587
                 137,             0.01202,           0.0076858,          0.00048815,             0.98782,             0.99348,             0.99462,             0.91146,           0.0091912,           0.0038345,          0.00015047,            0.006634,            0.006634,            0.006634
                 138,             0.01218,           0.0078875,          0.00055125,             0.98822,             0.99305,             0.99463,             0.91122,           0.0091963,           0.0038337,          0.00015017,           0.0066092,           0.0066092,           0.0066092
                 139,            0.012011,           0.0077136,          0.00049267,             0.98811,             0.99301,             0.99463,             0.91052,           0.0092007,           0.0038335,          0.00014955,           0.0065845,           0.0065845,           0.0065845
                 140,            0.012103,           0.0076949,          0.00054632,             0.98803,             0.99304,             0.99462,             0.91036,           0.0092198,           0.0038394,          0.00014963,           0.0065598,           0.0065598,           0.0065598
                 141,            0.012204,           0.0076415,          0.00051488,             0.98698,             0.99401,             0.99462,             0.91033,           0.0092332,           0.0038435,          0.00014935,            0.006535,            0.006535,            0.006535
                 142,            0.012138,           0.0078415,          0.00053027,              0.9866,             0.99484,             0.99462,                0.91,           0.0092374,           0.0038453,          0.00014915,           0.0065102,           0.0065102,           0.0065102
                 143,            0.012157,           0.0078207,          0.00050055,             0.98657,             0.99454,             0.99462,              0.9105,            0.009255,           0.0038486,          0.00014885,           0.0064855,           0.0064855,           0.0064855
                 144,            0.011902,           0.0075938,          0.00054029,              0.9866,             0.99454,             0.99462,             0.91066,           0.0092547,           0.0038478,          0.00014857,           0.0064608,           0.0064608,           0.0064608
                 145,            0.011925,           0.0077776,          0.00051794,              0.9867,             0.99452,             0.99463,             0.91026,           0.0092513,           0.0038456,          0.00014844,            0.006436,            0.006436,            0.006436
                 146,            0.012073,           0.0076197,          0.00053388,             0.98675,             0.99418,             0.99462,             0.91063,           0.0092635,           0.0038469,          0.00014835,           0.0064112,           0.0064112,           0.0064112
                 147,            0.011802,           0.0076523,          0.00052239,             0.98674,             0.99411,             0.99462,             0.91069,           0.0092649,            0.003844,          0.00014813,           0.0063865,           0.0063865,           0.0063865
                 148,             0.01221,           0.0077152,          0.00056864,             0.98674,             0.99395,             0.99462,             0.91037,           0.0092687,           0.0038423,          0.00014823,           0.0063618,           0.0063618,           0.0063618
                 149,            0.011828,           0.0076224,          0.00048483,             0.98689,              0.9939,             0.99463,             0.91042,            0.009268,           0.0038398,          0.00014807,            0.006337,            0.006337,            0.006337
                 150,            0.011906,           0.0077341,           0.0005344,             0.98683,             0.99415,             0.99463,              0.9107,           0.0092579,           0.0038397,           0.0001478,           0.0063122,           0.0063122,           0.0063122
                 151,            0.011841,           0.0076522,          0.00052527,              0.9869,             0.99411,             0.99463,             0.91061,           0.0092636,           0.0038389,          0.00014775,           0.0062875,           0.0062875,           0.0062875
                 152,            0.011726,           0.0076151,           0.0004885,              0.9869,             0.99401,             0.99463,             0.91077,           0.0092519,           0.0038356,          0.00014766,           0.0062628,           0.0062628,           0.0062628
